Dataset,Scale,Metric,n,rho,p,q_BH,sig
Chile,4,HF_power,77,0.17461485882538513,0.12879463177985684,0.24610439193603217,
Chile,4,Total_power,77,0.10939060939060938,0.3436162220323352,0.48396650990469753,
Chile,4,LF_HF,77,-0.10465849939534148,0.3650182414432809,0.5020184323086226,
Chile,4,LF_norm,77,0.14766812135233184,0.1999733742184742,0.3332889570307903,
Chile,4,HF_norm,77,0.12316630737683368,0.2858942365570576,0.43099633651817726,
Chile,4,DFA_alpha1,77,-0.38629791261370205,0.0005203695962274796,0.0016261549882108737,**
Chile,4,DFA_alpha2,77,-0.17690204532309795,0.12378352098557673,0.23958100835918075,
Chile,4,SDANN,0,,,,
Chile,5,RMSSD,77,-0.40764498659235493,0.0002334523044336649,0.0008207579460631238,***
Chile,5,SDNN,77,-0.5937220674062779,1.2615458182838217e-08,2.1025763638063697e-07,***
Chile,5,pNN50,77,-0.05168515694831484,0.655296925207149,0.7071549552595133,
Chile,5,SD1,77,-0.40764498659235493,0.0002334523044336649,0.0008207579460631238,***
Chile,5,SD2,77,-0.6226668068773331,1.4824942036081817e-09,6.718241062931013e-08,***
Chile,5,SD1SD2,77,0.4810715600189284,9.47984091765575e-06,6.182504946297228e-05,***
Chile,5,VLF_power,77,-0.024054892475945108,0.8354957564078843,0.8583860511039907,
Chile,5,LF_power,77,0.1613123718386876,0.16104803038866708,0.2848131261732683,
Chile,5,HF_power,77,0.18179189231820808,0.11357164476854277,0.22714328953708554,
Chile,5,Total_power,77,0.13623218886376778,0.23744508091235886,0.37491328565109294,
Chile,5,LF_HF,77,-0.10463220989536777,0.3651393740373241,0.5020184323086226,
Chile,5,LF_norm,77,0.11517429938482568,0.3185490751921177,0.45944578152709287,
Chile,5,HF_norm,77,0.10287081339712918,0.3733112178976645,0.5022124007591899,
Chile,5,DFA_alpha1,77,-0.40838109259161887,0.00022686797422549786,0.0008207579460631238,***
Chile,5,DFA_alpha2,77,-0.16026079183973918,0.16383204731714476,0.28575357090199666,
Chile,5,SDANN,0,,,,
Chile,6,RMSSD,77,-0.41405962458594037,0.00018153268802234774,0.0007359433298203287,***
Chile,6,SDNN,77,-0.5826804774173194,2.7038706376129484e-08,3.379838297016186e-07,***
Chile,6,pNN50,77,-0.07035070192964929,0.5431995901061227,0.6316274303559566,
Chile,6,SD1,77,-0.41405962458594037,0.00018153268802234774,0.0007359433298203287,***
Chile,6,SD2,77,-0.6071560018928439,4.796297053770864e-09,9.592594107541728e-08,***
Chile,6,SD1SD2,77,0.4536253220463746,3.4239929755521456e-05,0.00019753805628185456,***
Chile,6,VLF_power,77,-0.028655554971344442,0.8046068559822384,0.8294916041054003,
Chile,6,LF_power,77,0.1775592828224407,0.12237149105404921,0.23838602153386207,
Chile,6,HF_power,77,0.1842631053157369,0.10866450282654842,0.2217642914827519,
Chile,6,Total_power,77,0.14398759135601238,0.2115400310497125,0.3486923588731525,
Chile,6,LF_HF,77,-0.09895367790104632,0.39187796479286274,0.517900393999378,
Chile,6,LF_norm,77,0.13452337136547662,0.24343619547622475,0.3819691908219745,
Chile,6,HF_norm,77,0.10434302539565697,0.36647345558529454,0.5020184323086226,
Chile,6,DFA_alpha1,77,-0.37586098112413896,0.0007553927507891756,0.002266178252367527,**
Chile,6,DFA_alpha2,77,-0.17782217782217782,0.12181014497226629,0.23838602153386207,
Chile,6,SDANN,0,,,,
Chile,7,RMSSD,77,-0.4113780955886219,0.00020178509296965775,0.0007760965114217606,***
Chile,7,SDNN,77,-0.581812923918187,2.8673476935320718e-08,3.440817232238486e-07,***
Chile,7,pNN50,77,-0.06564488143435511,0.5705633049421143,0.6434924491828357,
Chile,7,SD1,77,-0.4113780955886219,0.00020178509296965775,0.0007760965114217606,***
Chile,7,SD2,77,-0.6015563383984436,7.216606766883662e-09,1.3531137687906866e-07,***
Chile,7,SD1SD2,77,0.4714496030285503,1.5059065070717085e-05,9.612169194074736e-05,***
Chile,7,VLF_power,77,-0.0073610599926389395,0.9493385978197939,0.9557099978051617,
Chile,7,LF_power,77,0.21562647878437352,0.05964791010610995,0.1431549842546639,
Chile,7,HF_power,77,0.20929070929070928,0.0677346727743408,0.15875313931486124,
Chile,7,Total_power,77,0.17897891582102105,0.11936363025556904,0.23558611234651783,
Chile,7,LF_HF,77,-0.11680424838319574,0.3117022735108878,0.45393534977313754,
Chile,7,LF_norm,77,0.12653136337346862,0.2728329348886524,0.4197429767517729,
Chile,7,HF_norm,77,0.12484883537515115,0.2793127226136835,0.425349323777183,
Chile,7,DFA_alpha1,77,-0.3897944161102056,0.0004580174843730795,0.0014463710032834088,**
Chile,7,DFA_alpha2,77,-0.20079920079920077,0.0799341334103052,0.1803025565645982,
Chile,7,SDANN,0,,,,
Chile,8,RMSSD,77,-0.4478153425521846,4.431904841410021e-05,0.00024621693563389003,***
Chile,8,SDNN,77,-0.6111257163888741,3.572927172217808e-09,8.245216551271864e-08,***
Chile,8,pNN50,77,-0.09608812240391186,0.40580156952820434,0.5316177766745035,
Chile,8,SD1,77,-0.4478153425521846,4.431904841410021e-05,0.00024621693563389003,***
Chile,8,SD2,77,-0.620221883379778,1.791530950114937e-09,6.718241062931013e-08,***
Chile,8,SD1SD2,77,0.44155844155844154,5.8212838528503324e-05,0.0003175245737918363,***
Chile,8,VLF_power,77,0.008360060991639938,0.9424741088256414,0.9552102454313934,
Chile,8,LF_power,77,0.18447342131552658,0.10825458432667015,0.2217642914827519,
Chile,8,HF_power,77,0.1663073768336926,0.14830068982856015,0.2746309070899262,
Chile,8,Total_power,77,0.14808875335191124,0.19868086821350484,0.3329846953298964,
Chile,8,LF_HF,77,-0.08173405541826594,0.4797740227411734,0.5850902716355773,
Chile,8,LF_norm,77,0.12942320837057678,0.26193290512054734,0.405050884207032,
Chile,8,HF_norm,77,0.07085020242914979,0.5403331069344532,0.6316274303559566,
Chile,8,DFA_alpha1,77,-0.3764656396235343,0.0007395042948704258,0.0022409221056679572,**
Chile,8,DFA_alpha2,77,-0.14869341185130658,0.19683339147521836,0.33174167102564894,
Chile,8,SDANN,0,,,,
Chile,9,RMSSD,77,-0.4179767600820232,0.00015529540657548344,0.0006683634979862247,***
Chile,9,SDNN,77,-0.6145696408854303,2.7582827456240724e-09,8.245216551271864e-08,***
Chile,9,pNN50,77,-0.053972343446027644,0.6410730810337546,0.6968185663410376,
Chile,9,SD1,77,-0.4179767600820232,0.00015529540657548344,0.0006683634979862247,***
Chile,9,SD2,77,-0.6331826068668174,6.44235214551009e-10,3.865411287306054e-08,***
Chile,9,SD1SD2,77,0.4907986750092013,5.85260302608523e-06,3.9904111541490206e-05,***
Chile,9,VLF_power,77,0.04156369945843629,0.7196626819858826,0.7575396652482974,
Chile,9,LF_power,77,0.19895893580104101,0.08279574737883731,0.1813045563040233,
Chile,9,HF_power,77,0.22070035227929963,0.05375350557183478,0.1321807514061511,
Chile,9,Total_power,77,0.182343971817656,0.11246080017975955,0.2264311413015293,
Chile,9,LF_HF,77,-0.13933434986066565,0.22683140386869122,0.362247587771276,
Chile,9,LF_norm,77,0.0871234029128766,0.4511888327734498,0.571320838860121,
Chile,9,HF_norm,77,0.12240391187759607,0.28891001768054075,0.43336502652081116,
Chile,9,DFA_alpha1,77,-0.42612650507387345,0.00011153692903651319,0.0005576846451825659,***
Chile,9,DFA_alpha2,77,-0.15534465534465533,0.17731981948045758,0.3044812065266299,
Chile,9,SDANN,0,,,,
Chile,10,RMSSD,77,-0.424443977075556,0.00011950729810863068,0.0005782611198804711,***
Chile,10,SDNN,77,-0.5944055944055944,1.2022558922919312e-08,2.1025763638063697e-07,***
Chile,10,pNN50,77,-0.06979862243020138,0.5463764155621014,0.632868435014017,
Chile,10,SD1,77,-0.424443977075556,0.00011950729810863068,0.0005782611198804711,***
Chile,10,SD2,77,-0.6114937693885062,3.4759848599023778e-09,8.245216551271864e-08,***
Chile,10,SD1SD2,77,0.459855933540144,2.5827603499318748e-05,0.00016142252187074216,***
Chile,10,VLF_power,77,0.034123770965876224,0.7682818763595467,0.801489902587746,
Chile,10,LF_power,77,0.21052631578947367,0.06609181501672873,0.1573614643255446,
Chile,10,HF_power,77,0.1978021978021978,0.0846357180997255,0.1833595284213364,
Chile,10,Total_power,77,0.18925811031074188,0.09924911296784172,0.20821492231015748,
Chile,10,LF_HF,77,-0.10287081339712918,0.3733112178976645,0.5022124007591899,
Chile,10,LF_norm,77,0.10384352489615647,0.36878478274959037,0.5022124007591899,
Chile,10,HF_norm,77,0.09406383090593616,0.41580967095766874,0.542360440379568,
Chile,10,DFA_alpha1,77,-0.4020716125979284,0.00028930009117118083,0.0009751688466444297,***
Chile,10,DFA_alpha2,77,-0.1622850833377149,0.15850413322136844,0.28304309503815794,
Chile,10,SDANN,0,,,,
Chile,11,RMSSD,77,-0.4180819180819181,0.00015464187605191473,0.0006683634979862247,***
Chile,11,SDNN,77,-0.5910931174089068,1.516559250212202e-08,2.2748388753183027e-07,***
Chile,11,pNN50,77,-0.047952047952047945,0.6787763424951198,0.7244960661967577,
Chile,11,SD1,77,-0.4180819180819181,0.00015464187605191473,0.0006683634979862247,***
Chile,11,SD2,77,-0.6128345338871654,3.1436150846656746e-09,8.245216551271864e-08,***
Chile,11,SD1SD2,77,0.4558336400441664,3.100311922131875e-05,0.0001860187153279125,***
Chile,11,VLF_power,77,0.04724223145275776,0.6832763779568858,0.7244960661967577,
Chile,11,LF_power,77,0.22535359377464637,0.04877507318182904,0.12092993350866704,
Chile,11,HF_power,77,0.2061096797938903,0.07211592798053595,0.16642137226277529,
Chile,11,Total_power,77,0.20400651979599344,0.07513547286383944,0.172065968390472,
Chile,11,LF_HF,77,-0.09795467690204533,0.3966994904922029,0.5219730138055301,
Chile,11,LF_norm,77,0.12074767337925232,0.2955336753510549,0.4389113990362201,
Chile,11,HF_norm,77,0.09295967190704031,0.42132828091222996,0.5471795856002987,
Chile,11,DFA_alpha1,77,-0.3989957411010043,0.00032513513703697676,0.001083783790123256,**
Chile,11,DFA_alpha2,77,-0.16118092433881906,0.1613941048315187,0.2848131261732683,
Chile,11,SDANN,0,,,,
Chile,12,RMSSD,77,-0.43906093906093907,6.481106591212894e-05,0.0003411108732217313,***
Chile,12,SDNN,77,-0.6211683053788317,1.665241086188963e-09,6.718241062931013e-08,***
Chile,12,pNN50,77,-0.08254902991745096,0.47539024274492026,0.5840122140746201,
Chile,12,SD1,77,-0.43906093906093907,6.481106591212894e-05,0.0003411108732217313,***
Chile,12,SD2,77,-0.6369682948630316,4.735485428611027e-10,3.55161407145827e-08,***
Chile,12,SD1SD2,77,0.4536253220463746,3.4239929755521456e-05,0.00019753805628185456,***
Chile,12,VLF_power,77,0.07524054892475944,0.5154616874370359,0.6160896662594054,
Chile,12,LF_power,77,0.20700352279299647,0.07086246939101608,0.16479644044422342,
Chile,12,HF_power,77,0.20195593879804402,0.07817609195147335,0.1776729362533485,
Chile,12,Total_power,77,0.19725011830274986,0.08552523787056339,0.1833595284213364,
Chile,12,LF_HF,77,-0.11472737788527262,0.3204431536371062,0.45996624923986534,
Chile,12,LF_norm,77,0.06682790893317209,0.5636239691566434,0.6429170750836236,
Chile,12,HF_norm,77,0.08672906041327094,0.45324786549569596,0.571320838860121,
Chile,12,DFA_alpha1,77,-0.3967348441032651,0.0003540223624879379,0.0011671066895206745,**
Chile,12,DFA_alpha2,77,-0.12513801987486198,0.2781917743299948,0.425349323777183,
Chile,12,SDANN,0,,,,
Chile,13,RMSSD,77,-0.41053683158946314,0.00020855498308673323,0.0007812221483067881,***
Chile,13,SDNN,77,-0.5481886534518112,2.4605912995404115e-07,2.236901181400374e-06,***
Chile,13,pNN50,77,-0.07145486092854514,0.5368731018986272,0.6316274303559566,
Chile,13,SD1,77,-0.41053683158946314,0.00020855498308673323,0.0007812221483067881,***
Chile,13,SD2,77,-0.567195961932804,7.517756972127275e-08,7.517756972127274e-07,***
Chile,13,SD1SD2,77,0.4035438245964561,0.00027346439492337965,0.0009322649826933398,***
Chile,13,VLF_power,77,0.08060360691939639,0.4858903411359511,0.5854100495613869,
Chile,13,LF_power,77,0.1793206793206793,0.11864806461070836,0.23558611234651783,
Chile,13,HF_power,77,0.16441453283558544,0.1530393123942812,0.2761141402483374,
Chile,13,Total_power,77,0.1654924023345076,0.15032728765720987,0.2749889408363595,
Chile,13,LF_HF,77,-0.08225984541774015,0.47694330816093977,0.5840122140746201,
Chile,13,LF_norm,77,0.10481623639518375,0.364291962459371,0.5020184323086226,
Chile,13,HF_norm,77,0.06348914243651085,0.58330984928048,0.6554043250342473,
Chile,13,DFA_alpha1,77,-0.34415584415584416,0.002178413123107694,0.005835035151181322,**
Chile,13,DFA_alpha2,77,-0.1019506808980493,0.37762385272858834,0.5057462313329308,
Chile,13,SDANN,0,,,,
Chile,14,RMSSD,77,-0.41703033808296963,0.00016129282661472873,0.0006720534442280364,***
Chile,14,SDNN,77,-0.5695094379304906,6.474149227116567e-08,6.697395752189553e-07,***
Chile,14,pNN50,77,-0.06874704243125294,0.5524523510123467,0.6354374217670145,
Chile,14,SD1,77,-0.41703033808296963,0.00016129282661472873,0.0006720534442280364,***
Chile,14,SD2,77,-0.5903570114096429,1.5963181485932767e-08,2.2804544979903955e-07,***
Chile,14,SD1SD2,77,0.4078290130921709,0.00023178995308743703,0.0008207579460631238,***
Chile,14,VLF_power,77,0.08509911141490087,0.46181343159557586,0.5748714916127501,
Chile,14,LF_power,77,0.20986907829013088,0.06696162419896447,0.15817706503692394,
Chile,14,HF_power,77,0.19932698880067298,0.08221701027725767,0.1813045563040233,
Chile,14,Total_power,77,0.19985277880014723,0.08139582354933723,0.18106143908137512,
Chile,14,LF_HF,77,-0.0994005994005994,0.38973229488795436,0.5173437542760456,
Chile,14,LF_norm,77,0.09945317840054681,0.38948032423463497,0.5173437542760456,
Chile,14,HF_norm,77,0.08275934591724064,0.4742624504244677,0.5840122140746201,
Chile,14,DFA_alpha1,77,-0.33737315316262684,0.0026952400795439246,0.007031061077071108,**
Chile,14,DFA_alpha2,77,-0.11207213838792784,0.3318445597018921,0.47181690952875655,
Chile,14,SDANN,0,,,,
Chile,15,RMSSD,77,-0.4345128555654871,7.863906161264046e-05,0.0003998596353185108,***
Chile,15,SDNN,77,-0.5922498554077501,1.3988354890269692e-08,2.2086876142531094e-07,***
Chile,15,pNN50,77,-0.08948945791051052,0.43894414261064973,0.56035422460934,
Chile,15,SD1,77,-0.4345128555654871,7.863906161264046e-05,0.0003998596353185108,***
Chile,15,SD2,77,-0.6138072453861927,2.921693531647343e-09,8.245216551271864e-08,***
Chile,15,SD1SD2,77,0.4102476470897523,0.00021092998004283278,0.0007812221483067881,***
Chile,15,VLF_power,77,0.0541037909458962,0.6402594663251968,0.6968185663410376,
Chile,15,LF_power,77,0.18741784531258213,0.10264080038550555,0.21383500080313655,
Chile,15,HF_power,77,0.13859824386140174,0.22931937949907033,0.3639990150778894,
Chile,15,Total_power,77,0.15763184184236814,0.17094729661449706,0.2964403987534631,
Chile,15,LF_HF,77,-0.06640727693359272,0.5660867180861773,0.6432803614615651,
Chile,15,LF_norm,77,0.12093169987906828,0.29479283274661655,0.4389113990362201,
Chile,15,HF_norm,77,0.04839896945160103,0.6759487204754852,0.7242307719380198,
Chile,15,DFA_alpha1,77,-0.3330353856669646,0.0030808290256426826,0.007895340797615386,**
Chile,15,DFA_alpha2,77,-0.1392817708607182,0.22700848833666631,0.362247587771276,
Chile,15,SDANN,0,,,,
Chile,16,RMSSD,77,-0.4178716020821284,0.0001559514828634524,0.0006683634979862247,***
Chile,16,SDNN,77,-0.5660655134339345,8.083941720508312e-08,7.823169406943528e-07,***
Chile,16,pNN50,77,-0.08086650191913348,0.4844642637473342,0.5854100495613869,
Chile,16,SD1,77,-0.4178716020821284,0.0001559514828634524,0.0006683634979862247,***
Chile,16,SD2,77,-0.5843630054156369,2.4117347687368363e-08,3.288729230095686e-07,***
Chile,16,SD1SD2,77,0.39460539460539457,0.0003833618075634624,0.0012366509921402013,**
Chile,16,VLF_power,77,0.05623324044376675,0.6271384846654897,0.6942492450171472,
Chile,16,LF_power,77,0.19980019980019978,0.0814776475866188,0.18106143908137512,
Chile,16,HF_power,77,0.16662285083337713,0.14752171422697458,0.2746309070899262,
Chile,16,Total_power,77,0.1755612808244387,0.12670265675678652,0.24365895530151255,
Chile,16,LF_HF,77,-0.07660760292339239,0.5078379829122976,0.6094055794947572,
Chile,16,LF_norm,77,0.12361322887638676,0.2841360909431456,0.4305092287017358,
Chile,16,HF_norm,77,0.06751143593248857,0.5596328274098148,0.6408009474158185,
Chile,16,DFA_alpha1,77,-0.32493821967506176,0.003934486332645022,0.009918873107508459,**
Chile,16,DFA_alpha2,77,-0.11591040538408957,0.31544511073806647,0.45716682715661805,
Chile,16,SDANN,0,,,,
Chile,17,RMSSD,77,-0.37185427635192664,0.0008687661484341531,0.002555194554218097,**
Chile,17,SDNN,77,-0.5080479260844132,2.3976094249393384e-06,1.712578160670956e-05,***
Chile,17,pNN50,77,-0.04265499405288281,0.7126185012563644,0.7527660224539061,
Chile,17,SD1,77,-0.37185427635192664,0.0008687661484341531,0.002555194554218097,**
Chile,17,SD2,77,-0.5232565017759957,1.0472249176091905e-06,8.267565139019926e-06,***
Chile,17,SD1SD2,77,0.3961985133275627,0.0003612114392659858,0.0011778633889108232,**
Chile,17,VLF_power,77,0.05420930523084398,0.6396066756717336,0.6968185663410376,
Chile,17,LF_power,77,0.2179808216884301,0.056850608376442145,0.13754179445913423,
Chile,17,HF_power,77,0.17184244599486503,0.13507417946408307,0.25646996100775266,
Chile,17,Total_power,77,0.18369908840956467,0.10976974619205056,0.22250624228118357,
Chile,17,LF_HF,77,-0.06868177008515029,0.5528305569373027,0.6354374217670145,
Chile,17,LF_norm,77,0.16044587285346307,0.16333949312431092,0.28575357090199666,
Chile,17,HF_norm,77,0.06578990608156503,0.5697104867064133,0.6434924491828357,
Chile,17,DFA_alpha1,77,-0.313451768315884,0.00550551652460574,0.01376379131151435,*
Chile,17,DFA_alpha2,77,-0.15284815742586175,0.18447150515502964,0.3144400656051642,
Chile,17,SDANN,0,,,,
Chile,18,RMSSD,77,-0.35726350797020096,0.001424369768929702,0.003920283767696427,**
Chile,18,SDNN,77,-0.521652831737644,1.144984776889158e-06,8.807575206839676e-06,***
Chile,18,pNN50,77,-0.035859113644457416,0.7568535164188125,0.7939022899498033,
Chile,18,SD1,77,-0.35726350797020096,0.001424369768929702,0.003920283767696427,**
Chile,18,SD2,77,-0.5459181996950004,2.821235751673469e-07,2.489325663241296e-06,***
Chile,18,SD1SD2,77,0.420674198666998,0.000139311655557198,0.0006633888359866571,***
Chile,18,VLF_power,77,0.054156725885324254,0.6399319368747454,0.6968185663410376,
Chile,18,LF_power,77,0.16663709078841155,0.14748662502741847,0.2746309070899262,
Chile,18,HF_power,77,0.189719423471574,0.09841278445611161,0.20791433335798226,
Chile,18,Total_power,77,0.16906888551869914,0.14158557820863907,0.2671426003936586,
Chile,18,LF_HF,77,-0.14306839915919156,0.21450123962059084,0.34973028199009376,
Chile,18,LF_norm,77,0.07266465550827,0.5299832938753736,0.630932492708778,
Chile,18,HF_norm,77,0.11725194050900299,0.30983845608089683,0.453422130850093,
Chile,18,DFA_alpha1,77,-0.3683314602021046,0.00098098775180367,0.0027504329489822527,**
Chile,18,DFA_alpha2,77,-0.10447515954770803,0.3658635180478409,0.5020184323086226,
Chile,18,SDANN,0,,,,
Chile,19,RMSSD,77,-0.41315535225767636,0.00018814296783768521,0.0007426696098855995,***
Chile,19,SDNN,77,-0.5726153623826443,5.287587874649879e-08,6.101062932288323e-07,***
Chile,19,pNN50,77,-0.060426812838552335,0.6016371007490902,0.6709707443298403,
Chile,19,SD1,77,-0.41315535225767636,0.00018814296783768521,0.0007426696098855995,***
Chile,19,SD2,77,-0.5834467075597093,2.5668888833504392e-08,3.3481159348049207e-07,***
Chile,19,SD1SD2,77,0.3782821013417139,0.0006935850922738593,0.00214510853280575,**
Chile,19,VLF_power,77,0.03376908466004806,0.7706238926012231,0.801489902587746,
Chile,19,LF_power,77,0.14108352886582165,0.22099516598028074,0.35658402383576143,
Chile,19,HF_power,77,0.16415271671260417,0.1537035380715745,0.2761141402483374,
Chile,19,Total_power,77,0.1410572391930618,0.2210820947781721,0.35658402383576143,
Chile,19,LF_HF,77,-0.129818404088219,0.2604665519990642,0.4048702880814469,
Chile,19,LF_norm,77,0.07058777136024058,0.5418381953201711,0.6316274303559566,
Chile,19,HF_norm,77,0.1094307628629428,0.34343804784314325,0.48396650990469753,
Chile,19,DFA_alpha1,77,-0.3337211060137408,0.0030167708511371037,0.007801993580526993,**
Chile,19,DFA_alpha2,77,-0.05698286570700986,0.6225466241645867,0.6917184712939852,
Chile,19,SDANN,0,,,,
Chile,20,RMSSD,77,-0.341529138823421,0.002366939812311358,0.006228788979766732,**
Chile,20,SDNN,77,-0.49759778116236636,4.1408997112437294e-06,2.8889997985421364e-05,***
Chile,20,pNN50,77,-0.0075057015729417835,0.948344474403904,0.9557099978051617,
Chile,20,SD1,77,-0.341529138823421,0.002366939812311358,0.006228788979766732,**
Chile,20,SD2,77,-0.5163160281673911,1.5359193861029905e-06,1.151939539577243e-05,***
Chile,20,SD1SD2,77,0.3776248595227173,0.0007098912387424394,0.0021731364451299164,**
Chile,20,VLF_power,77,0.047216252276719585,0.6834412891122748,0.7244960661967577,
Chile,20,LF_power,77,0.1431604130138511,0.21420350179816378,0.34973028199009376,
Chile,20,HF_power,77,0.15524051764700955,0.17761403714053411,0.3044812065266299,
Chile,20,Total_power,77,0.1516782669880477,0.1878939311338882,0.3184642900574376,
Chile,20,LF_HF,77,-0.11428120748713813,0.32234122848910596,0.4604874692701514,
Chile,20,LF_norm,77,0.07071921972403991,0.541084059643447,0.6316274303559566,
Chile,20,HF_norm,77,0.08361430421275427,0.46969271179234073,0.5822636923045547,
Chile,20,DFA_alpha1,77,-0.33277467779438563,0.0031055007137287182,0.007895340797615386,**
Chile,20,DFA_alpha2,77,-0.0712713028519971,0.5379223115155267,0.6316274303559566,
Chile,20,SDANN,0,,,,
Spain,1,RMSSD,58,-0.23965671044941403,0.06999464303286027,0.9528873703876618,
Spain,1,SDNN,58,-0.23651911778276788,0.07385328919390846,0.9528873703876618,
Spain,1,pNN50,58,0.09117204037875003,0.49609285205155706,0.9528873703876618,
Spain,1,SD1,58,-0.23965671044941403,0.06999464303286027,0.9528873703876618,
Spain,1,SD2,58,-0.2095727337045126,0.11435812156626822,0.9528873703876618,
Spain,1,SD1SD2,58,-0.13057922421483284,0.32856670704118496,0.9528873703876618,
Spain,1,VLF_power,58,-0.06518194961395307,0.6268805267339075,0.9528873703876618,
Spain,1,LF_power,58,-0.06167522839828971,0.6455751294075327,0.9528873703876618,
Spain,1,HF_power,58,-0.12965640284228985,0.3320259828073141,0.9528873703876618,
Spain,1,Total_power,58,-0.1652773078224492,0.2150265695121002,0.9528873703876618,
