Center,Metric,HC_n,PD_n,HC_mean,HC_sd,PD_mean,PD_sd,MW_p,BH_q,sig
Chile,SDNN,43,30,56.27206068936481,38.17530010680462,183.51393842228555,414.3648705972686,0.010078184343214449,0.058986783477233275,ns
Chile,RMSSD,43,30,55.835927866002315,34.372654735868565,157.837609642515,338.47499508581325,0.03361512389476178,0.11429142124219005,ns
Chile,pNN50,43,30,26.814949134963733,12.195135403076788,29.94594272134724,12.43514118253384,0.2237971419194773,0.48470139826107517,ns
Chile,SDANN,0,0,,,,,,,—
Chile,TINN,43,30,46.51162790697674,88.1406164985877,30.729166666666668,71.33574569250503,0.45537818168710653,0.6458775879158495,ns
Chile,SD1,43,30,39.49970660442215,24.3164667284861,111.6630322348373,239.46647206380555,0.03361512389476178,0.11429142124219005,ns
Chile,SD2,43,30,67.14103760622689,49.74942916210378,232.13436653367702,536.130533750357,0.010409432378335285,0.058986783477233275,ns
Chile,SD1SD2,43,30,0.6591127968439305,0.2248974256287426,0.5987435125077964,0.23390766129592805,0.22809477565227065,0.48470139826107517,ns
Chile,VLF_power,43,30,0.009377619004110454,0.006290141168142361,0.008660389656920989,0.006057981406818323,0.5865942380247291,0.7122930033157424,ns
Chile,LF_power,43,30,0.011025743312538031,0.011101713922515707,0.009166446927127753,0.007718827692637804,0.42275421478373076,0.6458775879158495,ns
Chile,HF_power,43,30,0.012633072024289146,0.016009872352611244,0.013206709450520661,0.017128072310918136,0.5789015449841078,0.7122930033157424,ns
Chile,Total_power,43,30,0.036927284984339545,0.030752774032441005,0.03466161823762216,0.026247412663051316,0.8796910381751024,0.9346717280610464,ns
Chile,LF_HF,43,30,1.4230076387847184,1.39047068949742,13.251674224594762,60.280985174338404,0.8532316670980453,0.9346717280610464,ns
Chile,LF_norm,43,30,0.29539507483934746,0.11632382155507767,0.2583272658375424,0.14135885962069433,0.11262901948460753,0.319115555206388,ns
Chile,HF_norm,43,30,0.3039270028002623,0.13978756921907481,0.30425990599795244,0.1903962729612844,0.9955271153430667,0.9955271153430667,ns
Chile,DFA_alpha1,43,30,0.829362738642307,0.2656556967653866,0.908599581661916,0.3200318934213255,0.29449381348328796,0.5562660921350995,ns
Chile,DFA_alpha2,43,30,0.8107219273915681,0.1268746876650574,0.7850664772561817,0.15625273261818798,0.4559135914700114,0.6458775879158495,ns
Chile,SampEn,43,30,1.4183907238412652,0.43019320304260794,1.0267158654843012,0.592273686628187,0.004640137711954353,0.058986783477233275,ns
Spain,SDNN,27,31,43.98755053943282,18.90777076097738,38.37623147794662,22.58995393899524,0.11538815186745731,0.24519982271834678,ns
Spain,RMSSD,27,31,44.84791492723298,30.924983693738717,35.06672003085633,30.92490173052165,0.1083604002467478,0.24519982271834678,ns
Spain,pNN50,27,31,11.091438600972888,16.297348563610175,6.003037874828545,10.651412228423363,0.07546531478860714,0.24519982271834678,ns
Spain,SDANN,0,0,,,,,,,—
Spain,TINN,27,31,140.0462962962963,140.97389154994536,140.37298387096774,146.92878933832105,0.8179008645004768,0.8690196685317566,ns
Spain,SD1,27,31,31.7453781759058,21.889938150373723,24.82142020926595,21.89452004227308,0.1083604002467478,0.24519982271834678,ns
Spain,SD2,27,31,52.16260332078736,19.61186155100205,46.7930975476135,26.22959925251502,0.11183073195551368,0.24519982271834678,ns
Spain,SD1SD2,27,31,0.5850805866017948,0.2615739143471993,0.5331044972004853,0.2949466312491336,0.2821059819861421,0.47958016937644155,ns
Spain,VLF_power,27,31,0.009797371024336032,0.004441963176106041,0.007667747700248164,0.0056029555078454,0.05134900215583268,0.24519982271834678,ns
Spain,LF_power,27,31,0.015036018817520449,0.012499970370112811,0.01051372473706098,0.012026228684155246,0.06139922768078638,0.24519982271834678,ns
Spain,HF_power,27,31,0.023156145761307066,0.03155017216363998,0.01240782876343991,0.016830687334184618,0.13863344081497783,0.261863165983847,ns
Spain,Total_power,27,31,0.05248075242290298,0.05076573862727063,0.034043032048970044,0.036572033920457665,0.07555523958573765,0.24519982271834678,ns
Spain,LF_HF,27,31,1.7544712388925836,1.6708677736750448,1.9171162060871918,1.8550463038589917,0.543221905967957,0.7376613666489994,ns
Spain,LF_norm,27,31,0.3292787053758949,0.11631944699918303,0.3365171509282662,0.11283025363659994,0.7910071417566066,0.8690196685317566,ns
Spain,HF_norm,27,31,0.31371969098982244,0.1751618481036732,0.28355757603922027,0.15227189724599915,0.5640939862609995,0.7376613666489994,ns
Spain,DFA_alpha1,27,31,0.9128386960175865,0.27325168861947585,0.9772539826801754,0.3447636602799011,0.39991431544139633,0.6180493965912489,ns
Spain,DFA_alpha2,27,31,0.8730205225086379,0.2021951184048617,0.8903586986824493,0.2064854632789268,0.8761243591282755,0.8761243591282755,ns
Spain,SampEn,27,31,1.3260219348885982,0.41739043467201614,1.242426245177781,0.4552127960054361,0.6289247787968083,0.7636943742532672,ns
Japan,SDNN,20,23,83.90082518747468,37.59205556550041,54.08072575701152,21.77162937198633,0.001905830142715577,0.007623320570862308,**
Japan,RMSSD,20,23,71.79923015163443,67.58799116808605,44.374022396780816,31.870600252846266,0.06600827892676521,0.13201655785353042,ns
Japan,pNN50,20,23,7.673349398870952,7.770983124353525,3.39258199474948,4.701435339098587,0.007132563000157354,0.02282420160050353,*
Japan,SDANN,20,23,34.5482305987829,11.555466943050332,27.218156940498176,11.2339614909507,0.03518619659246478,0.09382985757990608,ns
Japan,TINN,20,23,104.5800581927324,64.41408077947507,37.75418170798605,24.709196728487356,0.0002991923237517573,0.003472410573414829,**
Japan,SD1,20,23,50.78803159966284,47.8024502187346,31.390868565502302,22.55037698882479,0.06600827892676521,0.13201655785353042,ns
Japan,SD2,20,23,103.43761737016253,33.9674265991471,67.53654962713888,25.069139787588114,0.00043405132167685363,0.003472410573414829,**
Japan,SD1SD2,0,0,,,,,,,—
Japan,VLF_power,20,23,0.005139132978218336,0.0021803686747745915,0.004544744179075483,0.002082207561530996,0.3007424240023291,0.5346531982263628,ns
Japan,LF_power,20,23,0.004479505069674196,0.003991640467355389,0.004593692705828622,0.004461479710617258,0.9320846368977735,0.990286299558297,ns
Japan,HF_power,20,23,0.007499879544391535,0.012739971538857118,0.006557460979968075,0.00777277206803646,0.8742440113109863,0.990286299558297,ns
Japan,Total_power,20,23,0.018209220339784397,0.019438916013625244,0.01710178348890069,0.0150326250504988,0.8550967534607166,0.990286299558297,ns
Japan,LF_HF,20,23,1.9215229338700823,1.4492123711210312,2.030550316417904,2.012294178433762,0.7240405011700659,0.990286299558297,ns
Japan,LF_norm,20,23,0.23272120962510315,0.05267218672235369,0.22106060169748334,0.06425005973049668,0.48771151255268475,0.7803384200842955,ns
Japan,HF_norm,20,23,0.2501242272687828,0.14119513325849875,0.2513077311679686,0.1311088563776918,0.990286299558297,0.990286299558297,ns
Japan,DFA_alpha1,20,23,1.0311854286123878,0.14365795326705508,1.02413988744124,0.16328593675650985,0.9320846368977735,0.990286299558297,ns
Japan,DFA_alpha2,0,0,,,,,,,—
Japan,SampEn,18,20,0.616512014221597,0.22601547413347126,0.3597062743711681,0.1690778227925969,0.0008156219850349546,0.004349983920186424,**
